,product,category,sub_category,brand,sale_price,market_price,image_url,p_url,type,eancode,rating,description
159,Disinfecting Wipes Fresh Scent,Cleaning & Household,All Purpose Cleaners,Clorox,250,250,https://www.bigbasket.com/media/uploads/p/mm/40207146_2-clorox-disinfecting-wipes-fresh-scent.jpg,https://www.bigbasket.com/pd/40207146/clorox-disinfecting-wipes-fresh-scent-30-pcs-flow-pack/,Imported Cleaners,Invalid Code,,"Clorox® Disinfecting Wipes On the Go have all the benefits of regular Disinfecting Wipes but are the perfect size to pack into purses, glove boxes and diaper bags. And they work on many surfaces, so they’re great for work, home, wherever."
160,Bathroom Cleaner,Cleaning & Household,All Purpose Cleaners,BB Home,91,91,https://www.bigbasket.com/media/uploads/p/mm/40213611_3-bb-home-bathroom-cleaner.jpg,https://www.bigbasket.com/pd/40213611/bb-home-bathroom-cleaner-500-ml/,Toilet Cleaners,Invalid Code,,"If tough bathroom stains are giving you a tough time, use BB Home Bathroom Cleaner today. It is bleach-free and ideal to use for fittings, tiles, and basins. It has a rich foam that prevents limescale, removes dirt, leaves the toilet bowl shiny, and releases a fresh and long-lasting fragrance in your bathroom. It helps you maintain the toilet's freshness and cleanliness and gives you a clean and safe bathroom. BB Home ensures that your bathroom remains spic and span. Bb Home is a cleaning brand from the house of Bigbasket that brings both trust and quality to your doorstep. Enjoy sparkling clean bathrooms anytime, every time."
161,Toilet Cleaner Clinging Bleach Gel,Cleaning & Household,All Purpose Cleaners,Clorox,225,300,https://www.bigbasket.com/media/uploads/p/mm/285324_4-clorox-toilet-cleaner-clinging-bleach-gel.jpg,https://www.bigbasket.com/pd/285324/clorox-toilet-cleaner-clinging-bleach-gel-709-ml/,Toilet Cleaners,Invalid Code,3.5,"With its thick formula and unique wide dispensing nozzle, Clorox Toilet Bowl Cleaner Clinging Bleach Gel delivers better bowl coverage, so you can have the sparkling toilet you want. No scrubbing required. It disinfects to kill 99. 9% of germs. This formula comes with 5x cleaning action: cleans, deodourises, clings 50% longer, whitens and destroys stains. It Kills germs like Staphylococcus aureus (Staph), Salmonella Enterica, Influenza A1, Rota WA and Candida albicans."
162,Washing Machine Cleaner,Cleaning & Household,All Purpose Cleaners,ATOMIC,179.1,199,https://www.bigbasket.com/media/uploads/p/mm/40212905_1-atomic-washing-machine-cleaner.jpg,https://www.bigbasket.com/pd/40212905/atomic-washing-machine-cleaner-150-g/,Imported Cleaners,8908009966001,,"Atomic best washing machine cleaning powder for all leading brand of fully automatic front load and top-loading washing machine like LG, Samsung, IFB, Godrej, Bosch, Whirlpool, Haier, etc. Best product for fully automatic top load/front load washing machine tub & drum cleaner and increase optimum condition and prolong their life in appliances. Best washing machine cleaner powder helps to removes bad smell, odours inside machine also clean machine drum/ tub and scale. Washing machine cleaner powder used after every 2 months or after 45 washes for smooth and effective functioning."
163,Disinfectant Bathroom Cleaner - Floral,Cleaning & Household,All Purpose Cleaners,Harpic,44,44,https://www.bigbasket.com/media/uploads/p/mm/413494_10-harpic-disinfectant-bathroom-cleaner-floral.jpg,https://www.bigbasket.com/pd/413494/harpic-disinfectant-bathroom-cleaner-floral-200-ml/,Floor & Other Cleaners,Invalid Code,4.2,Harpic bathroom cleaner gives you unbeatable cleaning on greasy soil and particulate matter and Harpic freshness for the whole bathroom. Its thick liquid formula with powerful cleaning agents removes tough stains and kills 99.9 percent of germs. It also gives your bathroom a pleasant fresh fragrance. Used for regular cleaning of bathroom floor and tiles.
164,Visible Power Toilet Cleaner,Cleaning & Household,All Purpose Cleaners,Mr Muscle,75,75,https://www.bigbasket.com/media/uploads/p/mm/100205358_8-mr-muscles-visible-power-toilet-cleaner.jpg,https://www.bigbasket.com/pd/100205358/mr-muscles-visible-power-toilet-cleaner-500-ml/,Toilet Cleaners,8906006439139,4.2,"Powerfully cleans and freshens
Kills 99.9% germs
Its unique neck gives better reach under the rim hence better cleaning
Removes stains"
165,"Disinfectant Wipes, Multipurpose Use",Cleaning & Household,All Purpose Cleaners,BB Home,45,45,https://www.bigbasket.com/media/uploads/p/mm/40202535_3-bb-home-disinfectant-wipes-multipurpose-use.jpg,https://www.bigbasket.com/pd/40202535/bb-home-disinfectant-wipes-multipurpose-use-10-pcs/,Disinfectant Spray & Cleaners,8904256718332,5,"BB Home Disinfectant Wipes gently removes dirt & germs from surfaces. BB Home is a brand from the house of BigBasket. It can be used on all surfaces. Great for use at home, cars & office. Easy to carry to keep the germs at bay! These disinfectant wipes are sure to ensure you remain safe from germs."
166,Sanitizing Wipes for Skin - From Wipro,Cleaning & Household,All Purpose Cleaners,Hygienix,45,50,https://www.bigbasket.com/media/uploads/p/mm/40205493_1-hygienix-sanitizing-wipes-for-skin-from-wipro.jpg,https://www.bigbasket.com/pd/40205493/hygienix-sanitizing-wipes-for-skin-from-wipro-25-pulls/,Disinfectant Spray & Cleaners,Invalid Code,3.8,"Hygienix sanitizing wipes have a unique germ protection formulation that protects your hands and face from 99.9% germs. Perfect for daily use, now keep yourself always safe from the germs and bacteria. These wipes are perfect for travel."
167,Bleach - Lavender,Cleaning & Household,All Purpose Cleaners,Clorox,160,160,https://www.bigbasket.com/media/uploads/p/mm/20002193_2-clorox-bleach-lavender.jpg,https://www.bigbasket.com/pd/20002193/clorox-bleach-lavender-1-l/,Floor & Other Cleaners,Invalid Code,4.4,"Clorox is the number 1 bleach brand in the world. This formula comes with triple actions: cleans, disinfects and whitens, leaving a nice fragrance all around. It kills 99.9% germs keeping your house away from all kinds of diseases."
168,Proclean Floor Cleaner - Lavender,Cleaning & Household,All Purpose Cleaners,Godrej,179,179,https://www.bigbasket.com/media/uploads/p/mm/40201702_1-godrej-proclean-floor-cleaner-lavender.jpg,https://www.bigbasket.com/pd/40201702/godrej-proclean-floor-cleaner-lavender-1-l/,Floor & Other Cleaners,Invalid Code,4.5,"Godrej ProClean Floor Cleaner provides one-stop floor cleaning solution and is suitable for daily use. It works on – Ceramic, Marble, Granite, Mosaic & non-porous surfaces in the kitchen etc.
Gives sparkling looking clean floors"
169,Floor Cleaner - Herbal,Cleaning & Household,All Purpose Cleaners,Nimyle,654.5,770,https://www.bigbasket.com/media/uploads/p/mm/40102439_3-nimyle-floor-cleaner-herbal.jpg,https://www.bigbasket.com/pd/40102439/nimyle-floor-cleaner-herbal-5-l/,Floor & Other Cleaners,8901725961138,4.5,"Nimyle is a 100% natural action floor cleaner that uses the power of neem to keep your floor clean. Floors are the most susceptible and yet visible part of our homes; they get dirty, attract germs, accumulate spills and still remain an important element within every home. Nimyle Herbal Neem is a natural action cleaner that harnesses the goodness of neem. Nimyle’s unique formulation ensures 99.9% germ kill making the floor safe for the entire family. With a heritage of over 20 years, Nimyle is a chlorine-free product designed to effectively kill germs and clean your floors and conforms to the quality, performance and safety expectations from an eco-friendly product. The Nimyle range of products is designed with several naturally derived ingredients and completely excludes any chlorine based active systems in the formulation."
170,Disinfectant Surface Cleaning Spray,Cleaning & Household,All Purpose Cleaners,Nature Protect,169,199,https://www.bigbasket.com/media/uploads/p/mm/40203403_1-nature-protect-disinfectant-surface-cleaning-spray.jpg,https://www.bigbasket.com/pd/40203403/nature-protect-disinfectant-surface-cleaning-spray-450-ml/,Disinfectant Spray & Cleaners,8901030824661,4,"Keep your home’s surfaces hygienically clean with the Nature Protect Disinfectant Surface cleaner spray which has powerful naturally derived active. This is a quality product by Hindustan Unilever Limited, the makers of Surf Excel & Lifebuoy. It is Infused with neem extract and naturally derived active to help in disinfection of 99.99% germs^ including bacteria and fungi (Fungi test in progress). Neem extracts are known to have the power of 100 bio-actives with both anti-viral and anti-bacterial capabilities.
It pack s a 2-in-1 punch by both cleaning and disinfecting, killing 99.99% of germs & eliminating the need to use additional disinfectants and cleaners. Hygiene becomes a habit when it’s observed constantly, and disinfecting all surfaces regularly is one of the most important steps in keeping your surroundings constantly clean. This high-powered surface cleaner spray is perfect for spraying on many surfaces, including sensitive areas like kitchens Keep your household hygienically clean and leave your surfaces looking as good as new with the potent yet gentle Surface Cleaner Spray."
171,Metal Polish Triple Action Formula,Cleaning & Household,All Purpose Cleaners,Brasso,97,97,https://www.bigbasket.com/media/uploads/p/mm/262831_8-brasso-metal-polish-triple-action-formula.jpg,https://www.bigbasket.com/pd/262831/brasso-metal-polish-triple-action-formula-100-ml-tin/,"Metal, Furniture Cleaner",Invalid Code,4.1,"Brasso Copper & Zinc Polish polishes, cleans, and protects metal surfaces. It is a multi-use cleaner for a selection of metals including brass, stainless steel, pewter, chrome, copper, bronze, and aluminum, bringing luster to your house."
172,Disinfecting Wipes Fresh Scent,Cleaning & Household,All Purpose Cleaners,Clorox,130,130,https://www.bigbasket.com/media/uploads/p/mm/40207145_2-clorox-disinfecting-wipes-fresh-scent.jpg,https://www.bigbasket.com/pd/40207145/clorox-disinfecting-wipes-fresh-scent-15-pcs-flow-pack/,Imported Cleaners,Invalid Code,,"Clorox Expert Disinfecting Wipes are formulated to kill 99.9% of virus and bacteria. They are bleach-free and an all-in-one cleaning alternative. This all-purpose, multi-surface cleaner can be used on a variety of surfaces such as kitchen countertops, in the bathroom, bedroom, office, classrooms and also in the gym.
Clorox Expert Disinfecting Wipes comes in a compact pouch that is easy to store and take on the go. You can also safely wipe down toys, remotes, or clean up car spills with these disinfecting wipes."
173,Eco Multipurpose Sanitising Wipes - Lavender,Cleaning & Household,All Purpose Cleaners,Ajax,349.5,699,https://www.bigbasket.com/media/uploads/p/mm/40203620_5-ajax-eco-multipurpose-sanitising-wipes-lavender.jpg,https://www.bigbasket.com/pd/40203620/ajax-eco-multipurpose-sanitising-wipes-lavender-110-pcs/,Disinfectant Spray & Cleaners,8901314588692,,"Ajax Eco Multipurpose Wipes For sparkling clean surfaces, Makes cleaning a breeze. Feel proud using 100% biodegradable wipes. Feel powerful with anti-germ wipes that remove 99.9% of germs to keep your home clean. Feel good knowing these wipes are compostable & made from bamboo fibres."
174,Bleach - Lemon,Cleaning & Household,All Purpose Cleaners,Clorox,550,550,https://www.bigbasket.com/media/uploads/p/mm/20002196_3-clorox-bleach-lemon.jpg,https://www.bigbasket.com/pd/20002196/clorox-bleach-lemon-4-l/,Floor & Other Cleaners,Invalid Code,4.3,"Clorox is the number 1 bleach brand in the world. This formula comes with triple actions: cleans, disinfects and whitens, leaving a nice fragrance all around. It kills 99.9% germs keeping your house away from all kinds of diseases."
175,Herbal Floor Cleaner,Cleaning & Household,All Purpose Cleaners,Nimyle,156,156,https://www.bigbasket.com/media/uploads/p/mm/40211824_1-nimyle-herbal-floor-cleaner.jpg,https://www.bigbasket.com/pd/40211824/nimyle-herbal-floor-cleaner-975-ml/,Floor & Other Cleaners,Invalid Code,,"Nimyle Herbal 975ml Floor cleaner is a 100% Natural action floor cleaner with the power of Neem that ensures 99.9% anti-bacterial protection for your floors and naturally induced fresh fragrance that keeps your home smelling fresh for a long time.
**Basis lab study, 100% natural anti-bacterial action coming from natural ingredients in the product"
176,Toilet Seat Sanitizer + Deodoriser,Cleaning & Household,All Purpose Cleaners,Sanitt,150,150,https://www.bigbasket.com/media/uploads/p/mm/30009717_3-sanitt-toilet-seat-sanitizer-deodoriser.jpg,https://www.bigbasket.com/pd/30009717/sanitt-toilet-seat-sanitizer-deodoriser-75-ml-bottle/,Toilet Cleaners,Invalid Code,3.7,"There is no other portable toilet sanitizing and deodorizing spray like sanitt spray in the country. Sanitt spray not only sanitizes a toilet but also deodorizes it. Turning any dirty, smelly toilet into a clean and fragrant comfort room. Sanitt spray can sanitize toilets at home, railway/bus station, restaurant/hotel, mall, multiplex or any unknown toilet at a friends house. Besides the toilet seat, sanitt spray can sanitize frequently touched parts in public toilets, such as door knobs, flush handles, taps, mugs, etc. Sanitt spray easily fits into a ladys purse or handbag, and thus can be carried anywhere. Sanitt spray is safe to use at the given dose level. It is cfc free. Sanitt spray target area directed nozzle design sprays downward even at held at right angle to the toilet seat. This also ensures there is no wastage of the liquid."
177,Germ-Kill Spray,Cleaning & Household,All Purpose Cleaners,Domex,170,200,https://www.bigbasket.com/media/uploads/p/mm/40205796_1-domex-germ-kill-spray.jpg,https://www.bigbasket.com/pd/40205796/domex-germ-kill-spray-200-ml/,Disinfectant Spray & Cleaners,Invalid Code,4,"Domex Germ-Kill spray kills bacteria and cold and flu virus. The spray is a convenient and simple way to hygienically clean and removes germs from surfaces. This spray contains alcohol levels as recommended by Leading Health Organisations which destroys 99.9% of germs and virus. The spray is suitable for daily use to keep your home protected and is an easiest cum hassle-free way to keep yourself away from germs. Domex Germ-Kill spray can be used in car handle, car seat, keys, table-top, doorknobs, e-com couriers, toilet flush handle, toilet seat, train handle, keyboard, mouse, mobile. It kills bacteria and virus on frequently touched surfaces. This spray is suitable for daily use to keep your home protected and free yourself from worries about germs. 
Domex Germ-Kill Spray is brought to you by Domex Masterbrand family which has been providing effective sanitation to people across the globe for nearly 100 years. Over the years, in over 35 countries globally, Domex has provided families with protection from harmful germs. Domex is committed to raising hygiene standards by improving general health and safety standards in communities around the world."
178,IMPORTED - 3Ply Kitchen Towel Super Absorbent Paper Tissue Roll,Cleaning & Household,All Purpose Cleaners,Selpak,1340,1340,https://www.bigbasket.com/media/uploads/p/mm/1204227_1-selpak-imported-3ply-kitchen-towel-super-absorbent-paper-tissue-roll.jpg,https://www.bigbasket.com/pd/1204227/selpak-imported-3ply-kitchen-towel-super-absorbent-paper-tissue-roll-2x6-rolls/,Imported Cleaners,Invalid Code,4.5,"Selpak Kitchen Towels are your biggest supporter in creating a hygienic and healthy environment for your family! 3-ply Selpak Paper Towels are highly durable and the ridges provide super absorbency. Moreover, you can use only as much as you need with the practical half-sized sheets. Each pack has four rolls. The packaging is made of biodegradable plastic which shows that we are committed to the environment. The product is made of 100% virgin cellulose which is naturally bright without the use of any chemicals."
179,Glass Cleaner Refill,Cleaning & Household,All Purpose Cleaners,BB Home,89,89,https://www.bigbasket.com/media/uploads/p/mm/40213610_3-bb-home-glass-cleaner-refill.jpg,https://www.bigbasket.com/pd/40213610/bb-home-glass-cleaner-refill-500-ml/,"Kitchen, Glass & Drain",,,"BB Home Glass Cleaner Refill is a disinfectant cum insect repeller solution that helps you clean your glass surfaces easily. Its new anti-fog formula leaves the glass sparkling clean and shiny. This multipurpose glass cleaner helps you cleans tough stains from the glass easily without any hassle.
 
Say no to tough stains with this all-purpose glass cleaner also infused with essential oils which ensures a streak-free cleaning leaving a pleasant fragrance behind. It can be used to clean window panes, doors, T.V. screen, table surface, etc. Bb Home Cleaner comes from the house of Bigbasket and brings trust and quality to your doorstep. Keeping your home spotless all the time is super easy now!"
180,"Disinfectant Surface & Floor Cleaner Liquid - Neem, Kills 99.9% Germs",Cleaning & Household,All Purpose Cleaners,Lizol,38,38,https://www.bigbasket.com/media/uploads/p/mm/405265_4-lizol-disinfectant-surface-floor-cleaner-liquid-neem-kills-999-germs.jpg,https://www.bigbasket.com/pd/405265/lizol-disinfectant-surface-floor-cleaner-liquid-neem-kills-999-germs-200-ml/,Floor & Other Cleaners,Invalid Code,4.3,"Lizol is India's No.1 floor cleaning brand and recommended by the Indian Medical Association. Keep your home fresh and germ-free with Lizol. Lizol Disinfectant Surface Cleaner contains a distinctive formulation that kills 99.9% germs and gives 10 times better cleaning and germ protection than standard Phenyls, keeping the whole house cleaner, shinier and germ-free. The product is available in 7 different fragrances and is perfect for floors, tiles, sinks, kitchen counters and all other washable surfaces in your home.
We are constantly exposed to micro-organisms. Exposure to bad germs can cause food poisoning, diarrhoea and other kinds of sickness in individuals. The best way to fight them off is Lizol. Lizol floor cleaner saves you from harmful germs whilst keeping you and your home clean. So, practice good hygiene and cleanliness with Lizol that will prevent these problems.
Lizol disinfectant surface cleaning liquid can be used either directly or diluted. For light soiled areas you should clean with Lizol mixed with water, whereas, for heavily soiled areas it can be used without any dilution. Lizol takes complete care of your family by keeping your kitchen, bathroom, floor and furniture clean."
181,Germ - Removal Multipurpose Wipes,Cleaning & Household,All Purpose Cleaners,Nature Protect,169,199,https://www.bigbasket.com/media/uploads/p/mm/40203405_1-nature-protect-germ-removal-multipurpose-wipes.jpg,https://www.bigbasket.com/pd/40203405/nature-protect-germ-removal-multipurpose-wipes-48-pcs/,Disinfectant Spray & Cleaners,8901030826399,3.3,"Stay protected from contamination with Multipurpose Germ Removal Wipes by Nature Protect, a quality product by Hindustan Unilever Limited, the makers of Surf Excel and Lifebuoy. Infused with neem extract Nature Protect Multipurpose Germ removal wipes helps in cleaning and 99.9% germ removal^. Neem extracts are known to have the power of 100 bio-actives with both anti-viral and anti-bacterial capabilities.
Wipes made from 100% biodegradable fabric and balanced with skin’s pH level, our on-the-go hygiene wipes are safe to use on not just surfaces, but human skin, so you can disinfect any exposed parts of your body – such as your hands, elbows, or wrists – as well as the surfaces they’ve touched.  A thorough cleaning with on-the-go hygiene wipes helps in keeping surfaces hygienically clean, both inside and outside your home. Packaged neatly to enable quick, easy removal, these on-the-go hygiene wipes will help you stay protected whether you stay indoors or move out and about.
^ As per lab test conducted on representative organisms.* Always spot test on hidden area to check compatibility."
182,Heavy Starch - Fresh Lavender Scent,Cleaning & Household,All Purpose Cleaners,Faultless,570,570,https://www.bigbasket.com/media/uploads/p/mm/1204831_1-faultless-heavy-starch-fresh-lavender-scent.jpg,https://www.bigbasket.com/pd/1204831/faultless-heavy-starch-fresh-lavender-scent-2x567-g/,Imported Cleaners,Invalid Code,3.8,"Faultless Fresh Lavender Scent Heavy Starch suggests a fresh flowery fragrance that leaves shirts looking additional crisp and professional. With the button nozzle, a flat spray is laid on the piece of clothing, avoiding block. Use on all washable fabrics, except those labeled ""dry clean only."" Let Faultless provide you that fresh look all day!"
183,Lens Cleaning Solution Kit,Cleaning & Household,All Purpose Cleaners,ZEISS,179.1,199,https://www.bigbasket.com/media/uploads/p/mm/40194854_1-zeiss-lens-cleaning-solution-kit.jpg,https://www.bigbasket.com/pd/40194854/zeiss-lens-cleaning-solution-kit-1-set/,Imported Cleaners,Invalid Code,,ZEISS Cleaning Solution Kit is ideal for safely and quickly cleaning of all lenses. The kit contains one ZEISS solution spray and a microfiber cloth to remove various contaminants from your optics and electronics to help keep them clean and bright. Use on your spectacles.
184,Clean-Up All-Purpose Cleaner with Bleach,Cleaning & Household,All Purpose Cleaners,Clorox,425,425,https://www.bigbasket.com/media/uploads/p/mm/20002199_3-clorox-clean-up-all-purpose-cleaner-with-bleach.jpg,https://www.bigbasket.com/pd/20002199/clorox-clean-up-all-purpose-cleaner-with-bleach-2-l/,Floor & Other Cleaners,Invalid Code,4.3,"Clorox Clean-Up All-Purpose Cleaner with Bleach has been scientifically proven to kill 99.9% of germs. It removes stains in under 1 minute. It effortlessly removes tough stains, dirt, grease and grime, leaving no residue behind."
185,"Disinfectant Surface & Floor Cleaner Liquid - Jasmine, Kills 99.9% Germs",Cleaning & Household,All Purpose Cleaners,Lizol,38,38,https://www.bigbasket.com/media/uploads/p/mm/40037194_9-lizol-disinfectant-surface-floor-cleaner-liquid-jasmine-kills-999-germs.jpg,https://www.bigbasket.com/pd/40037194/lizol-disinfectant-surface-floor-cleaner-liquid-jasmine-kills-999-germs-200-ml/,Floor & Other Cleaners,8901396121541,4.5,"Lizol is India's No.1 Household Cleaning Brand which is highly recommended by the Indian Medical Association. Lizol guarantees to kill 99.99% of disease-causing bacteria as well as germs while leaving your room smelling fragrant with a wide variety of mesmerising aromas. 
This cleaner removes 100 types of stains and germs and leaves a pleasant fragrance. Available variants are pine, floral, citrus, Jasmine, Lavender, Sandal and Neem in the sizes: 200 ml, 500 ml, 975 ml and 2 L."
186,Lens Wipes  - Gentle & Thorough Cleaning,Cleaning & Household,All Purpose Cleaners,ZEISS,174.3,249,https://www.bigbasket.com/media/uploads/p/mm/40194536_1-zeiss-lens-wipes-gentle-thorough-cleaning.jpg,https://www.bigbasket.com/pd/40194536/zeiss-lens-wipes-gentle-thorough-cleaning-30-pcs-box/,Imported Cleaners,Invalid Code,3.7,"Zeiss Lens Wipes safely and quickly clean multiple lens surfaces. Specially formulated with a gentle alcohol solution, these wipes remove smudges and dirt, leaving lenses free of scratches, streaks or residue. Enjoy clear vision by ensuring that your lenses last for a long time. Achieve clear vision in seconds. ZEISS cleaning solutions gently remove dirt, dust or grease from your lenses and prevent. This way your lenses remain cleaner for longer and the lens coating is protected, guaranteeing flawless vision and increasing the longevity of your glasses. Using your sleeve, tie or a tissue might be handy, but these really aren't suitable for cleaning your lenses. ZEISS lens cleaning wipes are gentle on your lenses, ensure streak-free results and are just as quick as your sleeve."
187,Gotile Tap Cleaner - Multipurpose Cleaner,Cleaning & Household,All Purpose Cleaners,GOTILE,375,375,https://www.bigbasket.com/media/uploads/p/mm/40208142_1-gotile-gotile-tap-cleaner-multipurpose-cleaner.jpg,https://www.bigbasket.com/pd/40208142/gotile-gotile-tap-cleaner-multipurpose-cleaner-500-ml/,Imported Cleaners,8904362000253,,"Gotile tap cleaner is a perfect combination of descaler, detergents, emulsifiers and solvents which helps in removing hard water, soap and salt watermarks, oily, greasy and dirt stains from all surfaces."
188,Tap Cleaner,Cleaning & Household,All Purpose Cleaners,ATOMIC,359.1,399,https://www.bigbasket.com/media/uploads/p/mm/40212906_1-atomic-tap-cleaner.jpg,https://www.bigbasket.com/pd/40212906/atomic-tap-cleaner-700-ml/,Imported Cleaners,8908009966322,,"As we know in INDIA, almost 80% of the area having hard water supplies. Our costly tap, shower losses their shine and our best try to keep our all bathroom, kitchen fitting always shine and glow like new forever. After some point in time our dream to keep shine & polish turn into deadly, Pale, Limescale & soap- scum deposit on our complete tap & shower. To avoid all we need Advance & Professional cleaner for cleaning all. Atomic Tap cleaner spay set free from deposit limescale by hard water, soap scum gently & smoothly without any harm of polish and steel metal. Easy to Use: Spray, rub & rinse."
189,Dishwasher Tablets With Superior Gloss & Sparkling Agents,Cleaning & Household,All Purpose Cleaners,ARNIGO,450,500,https://www.bigbasket.com/media/uploads/p/mm/40208138_1-arnigo-dishwasher-tablets-with-superior-gloss-sparkling-agents.jpg,https://www.bigbasket.com/pd/40208138/arnigo-dishwasher-tablets-with-superior-gloss-sparkling-agents-500-g/,Imported Cleaners,8904362000024,,"Arnigo dishwahser tablets give you the ultimate cleaning action with dazzling shine. Its superior formulation has the power to break down tough stains, cut through grease and delivers a boost of shine."
190,Aio Max Dishwasher Tablets - Regular,Cleaning & Household,All Purpose Cleaners,Finish,599,599,https://www.bigbasket.com/media/uploads/p/mm/40212008_2-finish-aio-max-dishwasher-tablets-regular.jpg,https://www.bigbasket.com/pd/40212008/finish-aio-max-dishwasher-tablets-regular-22-tablets/,Imported Cleaners,5900627073249,,"Finish all in one max powerball gives you the brilliant clean and shine you expect, plus added protection against glass corrosion, so your glasses keep their sparkling shine for longer and are protected wash after wash. Now with 10x actions, use finish powerball for a powerful clean every time. Our powerball washes away residue for an amazing shine. Its salt and rinse aid action rinses away residues and helps to eliminate spots and film, delivering a sparkling shine. Finish rinse aid is recommended for best drying results. Finish all in one max is available in a re-sealable bag so there is no need to unwrap individual tablets."
191,"In-Cistern Toilet Cleaner Blocks, Aquamarine",Cleaning & Household,All Purpose Cleaners,Harpic,299,370,https://www.bigbasket.com/media/uploads/p/mm/40213804_2-harpic-in-cistern-toilet-cleaner-blocks-aquamarine.jpg,https://www.bigbasket.com/pd/40213804/harpic-in-cistern-toilet-cleaner-blocks-aquamarine-300-g/,Toilet Cleaners,Invalid Code,,"Harpic Flushmatic toilet cleaning cistern block is a drop-in tank tablet that can be used for any accessible cistern. It works by creating strong foam every time you flush the toilet, which helps to maintain cleanliness in the toilet bowl. Harpic Flushmatic toilet cleaner works from inside the cistern to release a dose of powerful detergent with every flush. Distributing the liquid across the bowl, helps you maintain a hygienic and deodorized toilet and prevents the build-up of stains giving you a continuous clean toilet. You need not remove the pleated cloth wrapper on the block as this will dissolve in the water till it finishes, just drops the block directly into the cistern. For best results, drop it at the opposite end to the water inlet, by the float. Wait for 10 minutes to let the block mix, before the first flush. Harpic Flushmatic toilet cistern block is a toilet hygiene product for continuous cleaning without any mess. It is touch-free and hygienic and dissolves completely when finished. A single block lasts up to a month depending upon individual usage. Also, it lets you know when it needs replacing as the colour of the flushed water starts to fade. To keep the freshness going replace it with a new Flushmatic block as soon as the colour starts to fade. Harpic Flushmatic toilet cleaner is safe to be used with septic tanks and all other toilet cleaners. For regular cleaning, use Harpic liquid."
192,Dishwasher Rinse Aid Liquid,Cleaning & Household,All Purpose Cleaners,ATOMIC,117,130,https://www.bigbasket.com/media/uploads/p/mm/40212909_1-atomic-dishwasher-rinse-aid-liquid.jpg,https://www.bigbasket.com/pd/40212909/atomic-dishwasher-rinse-aid-liquid-400-ml/,Imported Cleaners,8908009966254,,"Atomic Rinse aid works in your dishwasher's rinse cycle to make clear away of food residues left on your dishes clean, to make dry and ready to use. Rinse aid prevents water droplets from forming while cleaning process & fights against limescale - while making drying easier to dishes. Nothing will stand in the manner of sparkling dishes & glassware. Atomic Rinse aid is a useful detergent performance enhancer with 2 functions; 1-The rinse aid targets stubborn food and detergent spots to leave dishes with a crystal shine, while the quick-dry method actively dries your dishes. After using Atomic Rinse Aid, your dishes will be soaked with a slight lemon fragrance and a bright shine you can really see. You have to simply, fill your rinse aid dispenser as directed by your machine's manufacturer and make assure, to keep it topped up. Always make use of rinse aid for the most excellent possible clean, even when using any tablets/ detergent. Atomic Rinse aid can be used in any dishwasher like Bosch, LG, Siemens, Samsung, Beko, Neff, etc."
193,Scented Glass Cleaner - Pink,Cleaning & Household,All Purpose Cleaners,SOVI,84,120,https://www.bigbasket.com/media/uploads/p/mm/40202500_1-sovi-scented-glass-cleaner-pink.jpg,https://www.bigbasket.com/pd/40202500/sovi-scented-glass-cleaner-pink-500-ml/,Floor & Other Cleaners,8908013270057,5,"Sovi glass cleaner is yet another fantastic addition from the Raaso clean team. Our powerful, unique & eco-friendly formula provides you with a longer-lasting and streak-free clean surface. Our dust repellent formula effortlessly removes dirt and dust leaving behind a shinier surface. Plus its natural, non-toxic and chemical free formula makes it child and pet safe.
What makes our glass cleaner totally unique is that it also leaves behind a fresh scent while you clean! Put a sparkle on your windows, mirrors, kitchen appliances, TVs, computer screens, fans and fixtures. It is safe for use on glass, mirrors, stainless steel, acrylic, aluminium, ceramic, chrome, fiberglass & wooden surfaces.
Raaso was born out of a basic requirement to provide highly effective, non-toxic and safe cleaning products. These 3 underlying principles are the foundation to our innovation and product development. These principles constantly help us in putting adequate thought and an uncompromising approach to every finished product that is handed out to you. Our team has put together our heads, hearts and over 2 years of intense research & development in creating cleaning products that are not only effective but also toxin-free and are made using a potent amalgamation of science-backed with the age old secret kitchen ingredients vinegar and baking soda."
194,Dishwasher Salt,Cleaning & Household,All Purpose Cleaners,ATOMIC,108,120,https://www.bigbasket.com/media/uploads/p/mm/40212908_1-atomic-dishwasher-salt.jpg,https://www.bigbasket.com/pd/40212908/atomic-dishwasher-salt-900-g/,Imported Cleaners,8908009966247,,"Dishwasher salt mainly in hard water, which causes a build-up of Lime-scale and reduces the overall efficiency of your dishwasher. In order to fight this, Atomic Dishwasher salt performs 5 power actions which reduce water spots and Lime-scale build-up. Other salts may also have impurities like carbonates & iron, which can damage, relatively than protect your machine, while Atomic dishwasher salt is 99.9% pure for maximum result. It is also particularly granulated to a water softener in order to get rid of scale deposits on dishes & dishwasher. Atomic Salt can be used in all leading dishwasher like Bosch, LG, Siemens, Samsung, Beko, Neff, etc."
